assertion_id,subject_id,subject_name,predicate,object_id,object_name,directionality,confidence,validation_status,extraction_method,first_known_position,evidence_passage_id,epistemic_status,effective_predicate
A_17d909762bfd,CHAR_001,Fyodor Pavlovich Karamazov,ROMANTIC,CHAR_002,Dmitri Fyodorovich Karamazov,undirected_or_unknown,0.65,unreviewed,cue+cooccurrence rule,4,BK_P00004,machine-proposed,ROMANTIC
A_8f7a85b1a86b,CHAR_001,Fyodor Pavlovich Karamazov,FINANCIAL,CHAR_002,Dmitri Fyodorovich Karamazov,undirected_or_unknown,0.58,unreviewed,cue+cooccurrence rule,4,BK_P00004,machine-proposed,FINANCIAL
A_94ad0bdf2f38,CHAR_001,Fyodor Pavlovich Karamazov,FAMILY,CHAR_002,Dmitri Fyodorovich Karamazov,undirected_or_unknown,0.72,unreviewed,cue+cooccurrence rule,8,BK_P00008,machine-proposed,FAMILY
A_a678fb113325,CHAR_001,Fyodor Pavlovich Karamazov,FAMILY,CHAR_011,Pyotr Alexandrovich Miusov,undirected_or_unknown,0.72,unreviewed,cue+cooccurrence rule,8,BK_P00008,machine-proposed,FAMILY
A_42f7daba6f68,CHAR_002,Dmitri Fyodorovich Karamazov,FAMILY,CHAR_011,Pyotr Alexandrovich Miusov,undirected_or_unknown,0.72,unreviewed,cue+cooccurrence rule,8,BK_P00008,machine-proposed,FAMILY
A_97205263a28b,CHAR_001,Fyodor Pavlovich Karamazov,ROMANTIC,CHAR_002,Dmitri Fyodorovich Karamazov,undirected_or_unknown,0.65,unreviewed,cue+cooccurrence rule,8,BK_P00008,machine-proposed,ROMANTIC
A_d89ef6034e60,CHAR_001,Fyodor Pavlovich Karamazov,ROMANTIC,CHAR_011,Pyotr Alexandrovich Miusov,undirected_or_unknown,0.65,unreviewed,cue+cooccurrence rule,8,BK_P00008,machine-proposed,ROMANTIC
A_ea08b1020bb9,CHAR_002,Dmitri Fyodorovich Karamazov,ROMANTIC,CHAR_011,Pyotr Alexandrovich Miusov,undirected_or_unknown,0.65,unreviewed,cue+cooccurrence rule,8,BK_P00008,machine-proposed,ROMANTIC
A_a860ed170a06,CHAR_001,Fyodor Pavlovich Karamazov,FINANCIAL,CHAR_002,Dmitri Fyodorovich Karamazov,undirected_or_unknown,0.58,unreviewed,cue+cooccurrence rule,8,BK_P00008,machine-proposed,FINANCIAL
A_f2a211f53182,CHAR_001,Fyodor Pavlovich Karamazov,FINANCIAL,CHAR_011,Pyotr Alexandrovich Miusov,undirected_or_unknown,0.58,unreviewed,cue+cooccurrence rule,8,BK_P00008,machine-proposed,FINANCIAL
A_ba19ccf0485a,CHAR_002,Dmitri Fyodorovich Karamazov,FINANCIAL,CHAR_011,Pyotr Alexandrovich Miusov,undirected_or_unknown,0.58,unreviewed,cue+cooccurrence rule,8,BK_P00008,machine-proposed,FINANCIAL
A_cf6ff14a610e,CHAR_001,Fyodor Pavlovich Karamazov,SOCIAL,CHAR_002,Dmitri Fyodorovich Karamazov,undirected_or_unknown,0.55,unreviewed,cue+cooccurrence rule,8,BK_P00008,machine-proposed,SOCIAL
A_1e588aefe433,CHAR_001,Fyodor Pavlovich Karamazov,SOCIAL,CHAR_011,Pyotr Alexandrovich Miusov,undirected_or_unknown,0.55,unreviewed,cue+cooccurrence rule,8,BK_P00008,machine-proposed,SOCIAL
A_fecb701efcba,CHAR_002,Dmitri Fyodorovich Karamazov,SOCIAL,CHAR_011,Pyotr Alexandrovich Miusov,undirected_or_unknown,0.55,unreviewed,cue+cooccurrence rule,8,BK_P00008,machine-proposed,SOCIAL
A_4535f08c4ab9,CHAR_001,Fyodor Pavlovich Karamazov,FAMILY,CHAR_002,Dmitri Fyodorovich Karamazov,undirected_or_unknown,0.72,unreviewed,cue+cooccurrence rule,9,BK_P00009,machine-proposed,FAMILY
A_67e8f8ce406a,CHAR_001,Fyodor Pavlovich Karamazov,ROMANTIC,CHAR_002,Dmitri Fyodorovich Karamazov,undirected_or_unknown,0.65,unreviewed,cue+cooccurrence rule,9,BK_P00009,machine-proposed,ROMANTIC
A_620db7bd328d,CHAR_001,Fyodor Pavlovich Karamazov,FINANCIAL,CHAR_002,Dmitri Fyodorovich Karamazov,undirected_or_unknown,0.58,unreviewed,cue+cooccurrence rule,9,BK_P00009,machine-proposed,FINANCIAL
A_cfb39cba6a66,CHAR_001,Fyodor Pavlovich Karamazov,FAMILY,CHAR_002,Dmitri Fyodorovich Karamazov,undirected_or_unknown,0.72,unreviewed,cue+cooccurrence rule,10,BK_P00010,machine-proposed,FAMILY
A_acd84df49454,CHAR_001,Fyodor Pavlovich Karamazov,CONFLICT,CHAR_002,Dmitri Fyodorovich Karamazov,undirected_or_unknown,0.64,unreviewed,cue+cooccurrence rule,10,BK_P00010,machine-proposed,CONFLICT
A_8cfd6d868492,CHAR_001,Fyodor Pavlovich Karamazov,FINANCIAL,CHAR_002,Dmitri Fyodorovich Karamazov,undirected_or_unknown,0.58,unreviewed,cue+cooccurrence rule,10,BK_P00010,machine-proposed,FINANCIAL
A_de8db01b0880,CHAR_001,Fyodor Pavlovich Karamazov,SOCIAL,CHAR_002,Dmitri Fyodorovich Karamazov,undirected_or_unknown,0.55,unreviewed,cue+cooccurrence rule,10,BK_P00010,machine-proposed,SOCIAL
A_02b083ec2409,CHAR_001,Fyodor Pavlovich Karamazov,FAMILY,CHAR_002,Dmitri Fyodorovich Karamazov,undirected_or_unknown,0.72,unreviewed,cue+cooccurrence rule,12,BK_P00012,machine-proposed,FAMILY
A_69e0c0e04690,CHAR_001,Fyodor Pavlovich Karamazov,ROMANTIC,CHAR_002,Dmitri Fyodorovich Karamazov,undirected_or_unknown,0.65,unreviewed,cue+cooccurrence rule,12,BK_P00012,machine-proposed,ROMANTIC
A_d43c7a716538,CHAR_001,Fyodor Pavlovich Karamazov,FAMILY,CHAR_002,Dmitri Fyodorovich Karamazov,undirected_or_unknown,0.72,unreviewed,cue+cooccurrence rule,14,BK_P00014,machine-proposed,FAMILY
A_620e07d34f8b,CHAR_001,Fyodor Pavlovich Karamazov,FAMILY,CHAR_003,Ivan Fyodorovich Karamazov,undirected_or_unknown,0.72,unreviewed,cue+cooccurrence rule,14,BK_P00014,machine-proposed,FAMILY
A_eb39f5ef11f7,CHAR_001,Fyodor Pavlovich Karamazov,FAMILY,CHAR_004,Alexei Fyodorovich Karamazov,undirected_or_unknown,0.72,unreviewed,cue+cooccurrence rule,14,BK_P00014,machine-proposed,FAMILY
A_ede1ab964851,CHAR_002,Dmitri Fyodorovich Karamazov,FAMILY,CHAR_003,Ivan Fyodorovich Karamazov,undirected_or_unknown,0.72,unreviewed,cue+cooccurrence rule,14,BK_P00014,machine-proposed,FAMILY
A_d2da514a4eae,CHAR_002,Dmitri Fyodorovich Karamazov,FAMILY,CHAR_004,Alexei Fyodorovich Karamazov,undirected_or_unknown,0.72,unreviewed,cue+cooccurrence rule,14,BK_P00014,machine-proposed,FAMILY
A_99ef0f3937df,CHAR_003,Ivan Fyodorovich Karamazov,FAMILY,CHAR_004,Alexei Fyodorovich Karamazov,undirected_or_unknown,0.72,unreviewed,cue+cooccurrence rule,14,BK_P00014,machine-proposed,FAMILY
A_56e2e420afc6,CHAR_001,Fyodor Pavlovich Karamazov,CONFLICT,CHAR_002,Dmitri Fyodorovich Karamazov,undirected_or_unknown,0.64,unreviewed,cue+cooccurrence rule,14,BK_P00014,machine-proposed,CONFLICT
A_de861a414030,CHAR_001,Fyodor Pavlovich Karamazov,CONFLICT,CHAR_003,Ivan Fyodorovich Karamazov,undirected_or_unknown,0.64,unreviewed,cue+cooccurrence rule,14,BK_P00014,machine-proposed,CONFLICT
A_389ef25abca8,CHAR_001,Fyodor Pavlovich Karamazov,CONFLICT,CHAR_004,Alexei Fyodorovich Karamazov,undirected_or_unknown,0.64,unreviewed,cue+cooccurrence rule,14,BK_P00014,machine-proposed,CONFLICT
A_e02a8ac0fcf3,CHAR_002,Dmitri Fyodorovich Karamazov,CONFLICT,CHAR_003,Ivan Fyodorovich Karamazov,undirected_or_unknown,0.64,unreviewed,cue+cooccurrence rule,14,BK_P00014,machine-proposed,CONFLICT
A_903c4fbac64e,CHAR_002,Dmitri Fyodorovich Karamazov,CONFLICT,CHAR_004,Alexei Fyodorovich Karamazov,undirected_or_unknown,0.64,unreviewed,cue+cooccurrence rule,14,BK_P00014,machine-proposed,CONFLICT
A_7788fc3f2fe7,CHAR_003,Ivan Fyodorovich Karamazov,CONFLICT,CHAR_004,Alexei Fyodorovich Karamazov,undirected_or_unknown,0.64,unreviewed,cue+cooccurrence rule,14,BK_P00014,machine-proposed,CONFLICT
A_7f563174131a,CHAR_001,Fyodor Pavlovich Karamazov,FAMILY,CHAR_003,Ivan Fyodorovich Karamazov,undirected_or_unknown,0.72,unreviewed,cue+cooccurrence rule,18,BK_P00018,machine-proposed,FAMILY
A_eafb2786f6b8,CHAR_001,Fyodor Pavlovich Karamazov,FAMILY,CHAR_004,Alexei Fyodorovich Karamazov,undirected_or_unknown,0.72,unreviewed,cue+cooccurrence rule,18,BK_P00018,machine-proposed,FAMILY
A_25a55d331330,CHAR_003,Ivan Fyodorovich Karamazov,FAMILY,CHAR_004,Alexei Fyodorovich Karamazov,undirected_or_unknown,0.72,unreviewed,cue+cooccurrence rule,18,BK_P00018,machine-proposed,FAMILY
A_70c56a96e1b6,CHAR_001,Fyodor Pavlovich Karamazov,FINANCIAL,CHAR_003,Ivan Fyodorovich Karamazov,undirected_or_unknown,0.58,unreviewed,cue+cooccurrence rule,18,BK_P00018,machine-proposed,FINANCIAL
A_1a4381fa2a63,CHAR_001,Fyodor Pavlovich Karamazov,FINANCIAL,CHAR_004,Alexei Fyodorovich Karamazov,undirected_or_unknown,0.58,unreviewed,cue+cooccurrence rule,18,BK_P00018,machine-proposed,FINANCIAL
A_f1b5c5a57163,CHAR_003,Ivan Fyodorovich Karamazov,FINANCIAL,CHAR_004,Alexei Fyodorovich Karamazov,undirected_or_unknown,0.58,unreviewed,cue+cooccurrence rule,18,BK_P00018,machine-proposed,FINANCIAL
A_74d69895a274,CHAR_001,Fyodor Pavlovich Karamazov,SOCIAL,CHAR_003,Ivan Fyodorovich Karamazov,undirected_or_unknown,0.55,unreviewed,cue+cooccurrence rule,18,BK_P00018,machine-proposed,SOCIAL
A_2a16d6c58e8d,CHAR_001,Fyodor Pavlovich Karamazov,SOCIAL,CHAR_004,Alexei Fyodorovich Karamazov,undirected_or_unknown,0.55,unreviewed,cue+cooccurrence rule,18,BK_P00018,machine-proposed,SOCIAL
A_60c253fc8744,CHAR_003,Ivan Fyodorovich Karamazov,SOCIAL,CHAR_004,Alexei Fyodorovich Karamazov,undirected_or_unknown,0.55,unreviewed,cue+cooccurrence rule,18,BK_P00018,machine-proposed,SOCIAL
A_fbe991c8cf7d,CHAR_001,Fyodor Pavlovich Karamazov,FAMILY,CHAR_003,Ivan Fyodorovich Karamazov,undirected_or_unknown,0.72,unreviewed,cue+cooccurrence rule,19,BK_P00019,machine-proposed,FAMILY
A_1e8b6903d826,CHAR_001,Fyodor Pavlovich Karamazov,FAMILY,CHAR_004,Alexei Fyodorovich Karamazov,undirected_or_unknown,0.72,unreviewed,cue+cooccurrence rule,19,BK_P00019,machine-proposed,FAMILY
A_f5db3488fca6,CHAR_001,Fyodor Pavlovich Karamazov,FAMILY,CHAR_011,Pyotr Alexandrovich Miusov,undirected_or_unknown,0.72,unreviewed,cue+cooccurrence rule,19,BK_P00019,machine-proposed,FAMILY
A_185da4c90ad4,CHAR_003,Ivan Fyodorovich Karamazov,FAMILY,CHAR_004,Alexei Fyodorovich Karamazov,undirected_or_unknown,0.72,unreviewed,cue+cooccurrence rule,19,BK_P00019,machine-proposed,FAMILY
A_8efa2d2c02c1,CHAR_003,Ivan Fyodorovich Karamazov,FAMILY,CHAR_011,Pyotr Alexandrovich Miusov,undirected_or_unknown,0.72,unreviewed,cue+cooccurrence rule,19,BK_P00019,machine-proposed,FAMILY
A_63f796868cd5,CHAR_004,Alexei Fyodorovich Karamazov,FAMILY,CHAR_011,Pyotr Alexandrovich Miusov,undirected_or_unknown,0.72,unreviewed,cue+cooccurrence rule,19,BK_P00019,machine-proposed,FAMILY
A_f73ade032652,CHAR_001,Fyodor Pavlovich Karamazov,FINANCIAL,CHAR_003,Ivan Fyodorovich Karamazov,undirected_or_unknown,0.58,unreviewed,cue+cooccurrence rule,19,BK_P00019,machine-proposed,FINANCIAL
A_4b6666659315,CHAR_001,Fyodor Pavlovich Karamazov,FINANCIAL,CHAR_004,Alexei Fyodorovich Karamazov,undirected_or_unknown,0.58,unreviewed,cue+cooccurrence rule,19,BK_P00019,machine-proposed,FINANCIAL
A_e79c86b1db1d,CHAR_001,Fyodor Pavlovich Karamazov,FINANCIAL,CHAR_011,Pyotr Alexandrovich Miusov,undirected_or_unknown,0.58,unreviewed,cue+cooccurrence rule,19,BK_P00019,machine-proposed,FINANCIAL
A_78fbfc1122d1,CHAR_003,Ivan Fyodorovich Karamazov,FINANCIAL,CHAR_004,Alexei Fyodorovich Karamazov,undirected_or_unknown,0.58,unreviewed,cue+cooccurrence rule,19,BK_P00019,machine-proposed,FINANCIAL
A_fc1e433e9eff,CHAR_003,Ivan Fyodorovich Karamazov,FINANCIAL,CHAR_011,Pyotr Alexandrovich Miusov,undirected_or_unknown,0.58,unreviewed,cue+cooccurrence rule,19,BK_P00019,machine-proposed,FINANCIAL
A_2cddc795313a,CHAR_004,Alexei Fyodorovich Karamazov,FINANCIAL,CHAR_011,Pyotr Alexandrovich Miusov,undirected_or_unknown,0.58,unreviewed,cue+cooccurrence rule,19,BK_P00019,machine-proposed,FINANCIAL
A_51234908988a,CHAR_001,Fyodor Pavlovich Karamazov,SOCIAL,CHAR_003,Ivan Fyodorovich Karamazov,undirected_or_unknown,0.55,unreviewed,cue+cooccurrence rule,19,BK_P00019,machine-proposed,SOCIAL
A_881fa28d24b1,CHAR_001,Fyodor Pavlovich Karamazov,SOCIAL,CHAR_004,Alexei Fyodorovich Karamazov,undirected_or_unknown,0.55,unreviewed,cue+cooccurrence rule,19,BK_P00019,machine-proposed,SOCIAL
A_b0d667ce2f69,CHAR_001,Fyodor Pavlovich Karamazov,SOCIAL,CHAR_011,Pyotr Alexandrovich Miusov,undirected_or_unknown,0.55,unreviewed,cue+cooccurrence rule,19,BK_P00019,machine-proposed,SOCIAL
A_6bac22a77e60,CHAR_003,Ivan Fyodorovich Karamazov,SOCIAL,CHAR_004,Alexei Fyodorovich Karamazov,undirected_or_unknown,0.55,unreviewed,cue+cooccurrence rule,19,BK_P00019,machine-proposed,SOCIAL
A_69db5ef85d4a,CHAR_003,Ivan Fyodorovich Karamazov,SOCIAL,CHAR_011,Pyotr Alexandrovich Miusov,undirected_or_unknown,0.55,unreviewed,cue+cooccurrence rule,19,BK_P00019,machine-proposed,SOCIAL
A_bdad982b6c56,CHAR_004,Alexei Fyodorovich Karamazov,SOCIAL,CHAR_011,Pyotr Alexandrovich Miusov,undirected_or_unknown,0.55,unreviewed,cue+cooccurrence rule,19,BK_P00019,machine-proposed,SOCIAL
A_4481ba55f5b8,CHAR_002,Dmitri Fyodorovich Karamazov,FAMILY,CHAR_003,Ivan Fyodorovich Karamazov,undirected_or_unknown,0.72,unreviewed,cue+cooccurrence rule,22,BK_P00022,machine-proposed,FAMILY
A_5a2cd03b9b23,CHAR_002,Dmitri Fyodorovich Karamazov,SOCIAL,CHAR_003,Ivan Fyodorovich Karamazov,undirected_or_unknown,0.55,unreviewed,cue+cooccurrence rule,22,BK_P00022,machine-proposed,SOCIAL
A_b241e0ee8b5d,CHAR_002,Dmitri Fyodorovich Karamazov,FAMILY,CHAR_003,Ivan Fyodorovich Karamazov,undirected_or_unknown,0.72,unreviewed,cue+cooccurrence rule,23,BK_P00023,machine-proposed,FAMILY
A_e76bd73e2a14,CHAR_002,Dmitri Fyodorovich Karamazov,CONFLICT,CHAR_003,Ivan Fyodorovich Karamazov,undirected_or_unknown,0.64,unreviewed,cue+cooccurrence rule,23,BK_P00023,machine-proposed,CONFLICT
A_bf4296610271,CHAR_002,Dmitri Fyodorovich Karamazov,FAMILY,CHAR_003,Ivan Fyodorovich Karamazov,undirected_or_unknown,0.72,unreviewed,cue+cooccurrence rule,26,BK_P00026,machine-proposed,FAMILY
A_9aa95d3a0d4f,CHAR_002,Dmitri Fyodorovich Karamazov,FAMILY,CHAR_004,Alexei Fyodorovich Karamazov,undirected_or_unknown,0.72,unreviewed,cue+cooccurrence rule,26,BK_P00026,machine-proposed,FAMILY
A_c0fa848f0c6b,CHAR_002,Dmitri Fyodorovich Karamazov,FAMILY,CHAR_008,Zosima,undirected_or_unknown,0.72,unreviewed,cue+cooccurrence rule,26,BK_P00026,machine-proposed,FAMILY
A_e42265ae7bcd,CHAR_003,Ivan Fyodorovich Karamazov,FAMILY,CHAR_004,Alexei Fyodorovich Karamazov,undirected_or_unknown,0.72,unreviewed,cue+cooccurrence rule,26,BK_P00026,machine-proposed,FAMILY
A_26422e4668ac,CHAR_003,Ivan Fyodorovich Karamazov,FAMILY,CHAR_008,Zosima,undirected_or_unknown,0.72,unreviewed,cue+cooccurrence rule,26,BK_P00026,machine-proposed,FAMILY
A_d035344bdf0c,CHAR_004,Alexei Fyodorovich Karamazov,FAMILY,CHAR_008,Zosima,undirected_or_unknown,0.72,unreviewed,cue+cooccurrence rule,26,BK_P00026,machine-proposed,FAMILY
A_ea693496fcff,CHAR_002,Dmitri Fyodorovich Karamazov,ROMANTIC,CHAR_003,Ivan Fyodorovich Karamazov,undirected_or_unknown,0.65,unreviewed,cue+cooccurrence rule,26,BK_P00026,machine-proposed,ROMANTIC
A_3721aee34e3e,CHAR_002,Dmitri Fyodorovich Karamazov,ROMANTIC,CHAR_004,Alexei Fyodorovich Karamazov,undirected_or_unknown,0.65,unreviewed,cue+cooccurrence rule,26,BK_P00026,machine-proposed,ROMANTIC
A_60e69f0f33fe,CHAR_002,Dmitri Fyodorovich Karamazov,ROMANTIC,CHAR_008,Zosima,undirected_or_unknown,0.65,unreviewed,cue+cooccurrence rule,26,BK_P00026,machine-proposed,ROMANTIC
A_98cb79fe2626,CHAR_003,Ivan Fyodorovich Karamazov,ROMANTIC,CHAR_004,Alexei Fyodorovich Karamazov,undirected_or_unknown,0.65,unreviewed,cue+cooccurrence rule,26,BK_P00026,machine-proposed,ROMANTIC
A_f3c5eb650908,CHAR_003,Ivan Fyodorovich Karamazov,ROMANTIC,CHAR_008,Zosima,undirected_or_unknown,0.65,unreviewed,cue+cooccurrence rule,26,BK_P00026,machine-proposed,ROMANTIC
A_06aee714ebe0,CHAR_004,Alexei Fyodorovich Karamazov,ROMANTIC,CHAR_008,Zosima,undirected_or_unknown,0.65,unreviewed,cue+cooccurrence rule,26,BK_P00026,machine-proposed,ROMANTIC
A_9ec7355de6b2,CHAR_001,Fyodor Pavlovich Karamazov,FAMILY,CHAR_004,Alexei Fyodorovich Karamazov,undirected_or_unknown,0.72,unreviewed,cue+cooccurrence rule,27,BK_P00027,machine-proposed,FAMILY
A_330e8bbe18f1,CHAR_001,Fyodor Pavlovich Karamazov,ROMANTIC,CHAR_004,Alexei Fyodorovich Karamazov,undirected_or_unknown,0.65,unreviewed,cue+cooccurrence rule,27,BK_P00027,machine-proposed,ROMANTIC
A_f94304400466,CHAR_003,Ivan Fyodorovich Karamazov,FAMILY,CHAR_004,Alexei Fyodorovich Karamazov,undirected_or_unknown,0.72,unreviewed,cue+cooccurrence rule,28,BK_P00028,machine-proposed,FAMILY
A_f28b358ef82c,CHAR_003,Ivan Fyodorovich Karamazov,FINANCIAL,CHAR_004,Alexei Fyodorovich Karamazov,undirected_or_unknown,0.58,unreviewed,cue+cooccurrence rule,28,BK_P00028,machine-proposed,FINANCIAL
A_8b83cc62a3a7,CHAR_003,Ivan Fyodorovich Karamazov,SOCIAL,CHAR_004,Alexei Fyodorovich Karamazov,undirected_or_unknown,0.55,unreviewed,cue+cooccurrence rule,28,BK_P00028,machine-proposed,SOCIAL
A_9c6dffb9c01c,CHAR_004,Alexei Fyodorovich Karamazov,FINANCIAL,CHAR_011,Pyotr Alexandrovich Miusov,undirected_or_unknown,0.58,unreviewed,cue+cooccurrence rule,29,BK_P00029,machine-proposed,FINANCIAL
A_134826a41d5e,CHAR_001,Fyodor Pavlovich Karamazov,FINANCIAL,CHAR_004,Alexei Fyodorovich Karamazov,undirected_or_unknown,0.58,unreviewed,cue+cooccurrence rule,32,BK_P00032,machine-proposed,FINANCIAL
A_8855b20cb3ea,CHAR_001,Fyodor Pavlovich Karamazov,SOCIAL,CHAR_004,Alexei Fyodorovich Karamazov,undirected_or_unknown,0.55,unreviewed,cue+cooccurrence rule,32,BK_P00032,machine-proposed,SOCIAL
A_e00d75efb5d7,CHAR_001,Fyodor Pavlovich Karamazov,FAMILY,CHAR_004,Alexei Fyodorovich Karamazov,undirected_or_unknown,0.72,unreviewed,cue+cooccurrence rule,33,BK_P00033,machine-proposed,FAMILY
A_eca8084845da,CHAR_001,Fyodor Pavlovich Karamazov,SOCIAL,CHAR_004,Alexei Fyodorovich Karamazov,undirected_or_unknown,0.55,unreviewed,cue+cooccurrence rule,33,BK_P00033,machine-proposed,SOCIAL
A_e375786dea6b,CHAR_004,Alexei Fyodorovich Karamazov,FAMILY,CHAR_008,Zosima,undirected_or_unknown,0.72,unreviewed,cue+cooccurrence rule,35,BK_P00035,machine-proposed,FAMILY
A_d2b20c52bef9,CHAR_004,Alexei Fyodorovich Karamazov,FAMILY,CHAR_008,Zosima,undirected_or_unknown,0.72,unreviewed,cue+cooccurrence rule,43,BK_P00043,machine-proposed,FAMILY
A_3daba37c29b0,CHAR_004,Alexei Fyodorovich Karamazov,FAMILY,CHAR_008,Zosima,undirected_or_unknown,0.72,unreviewed,cue+cooccurrence rule,47,BK_P00047,machine-proposed,FAMILY
A_5a3b713d13ec,CHAR_004,Alexei Fyodorovich Karamazov,FAMILY,CHAR_008,Zosima,undirected_or_unknown,0.72,unreviewed,cue+cooccurrence rule,48,BK_P00048,machine-proposed,FAMILY
A_77b2676275f3,CHAR_004,Alexei Fyodorovich Karamazov,ROMANTIC,CHAR_008,Zosima,undirected_or_unknown,0.65,unreviewed,cue+cooccurrence rule,48,BK_P00048,machine-proposed,ROMANTIC
